item_id	display_name	constant_name	source_category	final_category	changed_by_rules	fallback_review
1	Toolkit	MCANNONTOOLKIT	UNKNOWN	CLEANUP	False	True
3	Nulodion's notes	NULODIONS_NOTES	UNKNOWN	CLEANUP	False	True
5	Instruction manual	MCANNONBOOK	UNKNOWN	CLEANUP	False	True
6	Cannon base	TWPART1	UNKNOWN	CLEANUP	False	True
7	Twpart1	TWPART1	UNKNOWN	CLEANUP	False	True
8	Cannon stand	TWPART2	UNKNOWN	CLEANUP	False	True
9	Twpart2	TWPART2	UNKNOWN	CLEANUP	False	True
11	Twpart3	TWPART3	UNKNOWN	CLEANUP	False	True
12	Cannon furnace	TWPART4	UNKNOWN	CLEANUP	False	True
13	Twpart4	TWPART4	UNKNOWN	CLEANUP	False	True
14	Railing	MCANNONRAILING1_OBJ	UNKNOWN	CLEANUP	False	True
15	Holy table napkin	HOLY_TABLE_NAPKIN	UNKNOWN	CLEANUP	False	True
16	Magic whistle	MAGIC_WHISTLE	UNKNOWN	CLEANUP	False	True
17	Grail bell	GRAIL_BELL	UNKNOWN	CLEANUP	False	True
19	Holy grail	HOLY_GRAIL	UNKNOWN	CLEANUP	False	True
20	White cog	WHITECOG	UNKNOWN	CLEANUP	False	True
21	Black cog	BLACKCOG	UNKNOWN	CLEANUP	False	True
22	Blue cog	BLUECOG	UNKNOWN	CLEANUP	False	True
23	Red cog	REDCOG	UNKNOWN	CLEANUP	False	True
24	Rat poison	RAT_POISON	UNKNOWN	CLEANUP	False	True
25	Red vine worm	RED_VINE_WORM	UNKNOWN	CLEANUP	False	True
28	Insect repellent	INSECT_REPELLENT	UNKNOWN	CLEANUP	False	True
29	Insect Repellent	INSECT_REPELLENT	UNKNOWN	CLEANUP	False	True
31	Bucket Wax	BUCKET_WAX	CLEANUP	CLEANUP	False	False
32	Lit black candle	LIT_BLACK_CANDLE	UNKNOWN	CLEANUP	False	True
33	Lit candle	LIT_CANDLE	UNKNOWN	CLEANUP	False	True
34	Null	CERT_LIT_CANDLE	UNKNOWN	CLEANUP	False	True
35	Excalibur	EXCALIBUR	UNKNOWN	CLEANUP	False	True
36	Candle	UNLIT_CANDLE	UNKNOWN	CLEANUP	False	True
37	Unlit Candle	UNLIT_CANDLE	UNKNOWN	CLEANUP	False	True
38	Black candle	UNLIT_BLACK_CANDLE	UNKNOWN	CLEANUP	False	True
76	Khazard cell keys	KHAZARD_CELLKEYS	UNKNOWN	CLEANUP	False	True
83	Lever	IKOV_LEVER	UNKNOWN	CLEANUP	False	True
85	Shiny key	IKOV_SHINYKEY	UNKNOWN	CLEANUP	False	True
86	Pendant of lucien	IKOV_PENDANTOFLUCIEN	UNKNOWN	CLEANUP	False	True
87	Armadyl pendant	IKOV_PENDANTOFARMARDYL	UNKNOWN	CLEANUP	False	True
90	Child's blanket	CHILDS_BLANKET	UNKNOWN	CLEANUP	False	True
114	Strength4	STRENGTH4	UNKNOWN	CLEANUP	False	True
187	Weapon poison	WEAPON_POISON	UNKNOWN	CLEANUP	False	True
188	Weapon Poison	WEAPON_POISON	UNKNOWN	CLEANUP	False	True
197	Poison chalice	POISON_CHALICE	UNKNOWN	CLEANUP	False	True
198	Poison Chalice	POISON_CHALICE	UNKNOWN	CLEANUP	False	True
200	Unidentified Guam	UNIDENTIFIED_GUAM	UNKNOWN	CLEANUP	False	True
202	Unidentified Marentill	UNIDENTIFIED_MARENTILL	UNKNOWN	CLEANUP	False	True
204	Unidentified Tarromin	UNIDENTIFIED_TARROMIN	UNKNOWN	CLEANUP	False	True
206	Unidentified Harralander	UNIDENTIFIED_HARRALANDER	UNKNOWN	CLEANUP	False	True
208	Unidentified Ranarr	UNIDENTIFIED_RANARR	UNKNOWN	CLEANUP	False	True
210	Unidentified Irit	UNIDENTIFIED_IRIT	UNKNOWN	CLEANUP	False	True
212	Unidentified Avantoe	UNIDENTIFIED_AVANTOE	UNKNOWN	CLEANUP	False	True
214	Unidentified Kwuarm	UNIDENTIFIED_KWUARM	UNKNOWN	CLEANUP	False	True
216	Unidentified Cadantine	UNIDENTIFIED_CADANTINE	UNKNOWN	CLEANUP	False	True
218	Unidentified Dwarf Weed	UNIDENTIFIED_DWARF_WEED	UNKNOWN	CLEANUP	False	True
220	Unidentified Torstol	UNIDENTIFIED_TORSTOL	UNKNOWN	CLEANUP	False	True
237	Unicorn horn	UNICORN_HORN	UNKNOWN	CLEANUP	False	True
