# schema=1
# family_key	item_ids (curated order)
farming.1	5318,5319,5324,5322,5320,5323,5321,22879
farming.2	5096,5097,5098,5099,5100,22887
farming.3	5291,5292,5293,5294,5295,5296,5297,5298,5299,5300,5301,5302,5303,5304
farming.4	5305,5307,5308,5306,5309,5310,5311
farming.5	5101,5102,5103,5104,5105,5106
farming.6	5280,22873,5281,5282,13657
farming.7	5312,5313,5314,5315,5316,21486,21488,22869,22871,31547,31549,31551
farming.8	5283,5284,5285,5286,5287,5288,5289,5290,22877
farming.9	5317,22875,22881,22883,22885,31541,31543,31545,21490
farming.10	6032,6034,21483
farming.11	5354,5356,6036
