# schema=1
# source_key	source_url	retrieved_on	revision	license
osrs-wiki-cooking-15254100	https://oldschool.runescape.wiki/w/Cooking?oldid=15254100	2026-07-13	15254100	CC BY-NC-SA 3.0
osrs-wiki-fast-foods-15075008	https://oldschool.runescape.wiki/w/Template%3AFast_foods_table?oldid=15075008	2026-07-13	15075008	CC BY-NC-SA 3.0
osrs-wiki-hunter-meats-15145743	https://oldschool.runescape.wiki/w/Template%3AHunter_meats_table?oldid=15145743	2026-07-13	15145743	CC BY-NC-SA 3.0
osrs-wiki-anglerfish-15187190	https://oldschool.runescape.wiki/w/Anglerfish?oldid=15187190	2026-07-13	15187190	CC BY-NC-SA 3.0
osrs-wiki-blighted-manta-15189707	https://oldschool.runescape.wiki/w/Blighted_manta_ray?oldid=15189707	2026-07-13	15189707	CC BY-NC-SA 3.0
osrs-wiki-blighted-karambwan-15189706	https://oldschool.runescape.wiki/w/Blighted_karambwan?oldid=15189706	2026-07-13	15189706	CC BY-NC-SA 3.0
osrs-wiki-blighted-anglerfish-15189705	https://oldschool.runescape.wiki/w/Blighted_anglerfish?oldid=15189705	2026-07-13	15189705	CC BY-NC-SA 3.0
osrs-wiki-potions-15243625	https://oldschool.runescape.wiki/w/Potions?oldid=15243625	2026-07-13	15243625	CC BY-NC-SA 3.0
osrs-wiki-herbs-15112638	https://oldschool.runescape.wiki/w/Herb?oldid=15112638	2026-07-13	15112638	CC BY-NC-SA 3.0
osrs-wiki-unfinished-potions-14879158	https://oldschool.runescape.wiki/w/Module%3AUnfinished_potion_creation_calculator?oldid=14879158	2026-07-13	14879158	CC BY-NC-SA 3.0
osrs-wiki-smithing-15260331	https://oldschool.runescape.wiki/w/Smithing?oldid=15260331	2026-07-13	15260331	CC BY-NC-SA 3.0
osrs-wiki-crafting-15260346	https://oldschool.runescape.wiki/w/Crafting?oldid=15260346	2026-07-13	15260346	CC BY-NC-SA 3.0
osrs-wiki-woodcutting-15160660	https://oldschool.runescape.wiki/w/Logs?oldid=15160660	2026-07-14	15160660	CC BY-NC-SA 3.0
osrs-wiki-planks-15110770	https://oldschool.runescape.wiki/w/Planks?oldid=15110770	2026-07-14	15110770	CC BY-NC-SA 3.0
osrs-wiki-fletching-15122007	https://oldschool.runescape.wiki/w/Fletching?oldid=15122007	2026-07-14	15122007	CC BY-NC-SA 3.0
