# schema=1
# item_id	family_key	variant_kind	variant_value	food_role	heal_model	immediate_heal_min	immediate_heal_max	secondary_heal	area_restriction	source_key
329	food.salmon	NONE	0	STANDARD	FIXED	9	9	0	NONE	osrs-wiki-cooking-15254100
333	food.trout	NONE	0	STANDARD	FIXED	7	7	0	NONE	osrs-wiki-cooking-15254100
361	food.tuna	NONE	0	STANDARD	FIXED	10	10	0	NONE	osrs-wiki-cooking-15254100
365	food.bass	NONE	0	STANDARD	FIXED	13	13	0	NONE	osrs-wiki-cooking-15254100
373	food.swordfish	NONE	0	STANDARD	FIXED	14	14	0	NONE	osrs-wiki-cooking-15254100
379	food.lobster	NONE	0	STANDARD	FIXED	12	12	0	NONE	osrs-wiki-cooking-15254100
385	food.shark	NONE	0	STANDARD	FIXED	20	20	0	NONE	osrs-wiki-cooking-15254100
391	food.manta_ray	NONE	0	STANDARD	FIXED	22	22	0	NONE	osrs-wiki-cooking-15254100
397	food.sea_turtle	NONE	0	STANDARD	FIXED	21	21	0	NONE	osrs-wiki-cooking-15254100
2011	food.curry	NONE	0	STANDARD	FIXED	19	19	0	NONE	osrs-wiki-cooking-15254100
2301	food.pineapple_pizza	SERVINGS	2	MULTI_BITE	FIXED	11	11	0	NONE	osrs-wiki-fast-foods-15075008
2303	food.pineapple_pizza	SERVINGS	1	MULTI_BITE	FIXED	11	11	0	NONE	osrs-wiki-fast-foods-15075008
3144	food.karambwan	NONE	0	COMBO	FIXED	18	18	0	NONE	osrs-wiki-cooking-15254100
6705	food.potato_with_cheese	NONE	0	STANDARD	FIXED	16	16	0	NONE	osrs-wiki-cooking-15254100
7058	food.mushroom_potato	NONE	0	STANDARD	FIXED	20	20	0	NONE	osrs-wiki-cooking-15254100
7060	food.tuna_potato	NONE	0	STANDARD	FIXED	22	22	0	NONE	osrs-wiki-cooking-15254100
7208	food.wild_pie	SERVINGS	2	MULTI_BITE	FIXED	11	11	0	NONE	osrs-wiki-fast-foods-15075008
7210	food.wild_pie	SERVINGS	1	MULTI_BITE	FIXED	11	11	0	NONE	osrs-wiki-fast-foods-15075008
7218	food.summer_pie	SERVINGS	2	MULTI_BITE	FIXED	11	11	0	NONE	osrs-wiki-fast-foods-15075008
7220	food.summer_pie	SERVINGS	1	MULTI_BITE	FIXED	11	11	0	NONE	osrs-wiki-fast-foods-15075008
7946	food.monkfish	NONE	0	STANDARD	FIXED	16	16	0	NONE	osrs-wiki-cooking-15254100
11936	food.dark_crab	NONE	0	STANDARD	FIXED	22	22	0	NONE	osrs-wiki-cooking-15254100
13441	food.anglerfish	NONE	0	STANDARD	VARIABLE	3	22	0	NONE	osrs-wiki-anglerfish-15187190
24589	food.manta_ray	NONE	0	STANDARD	FIXED	22	22	0	BLIGHTED_AREAS	osrs-wiki-blighted-manta-15189707
24592	food.anglerfish	NONE	0	STANDARD	VARIABLE	3	22	0	BLIGHTED_AREAS	osrs-wiki-blighted-anglerfish-15189705
24595	food.karambwan	NONE	0	COMBO	FIXED	18	18	0	BLIGHTED_AREAS	osrs-wiki-blighted-karambwan-15189706
29128	food.wild_kebbit	NONE	0	DELAYED	FIXED	4	4	4	NONE	osrs-wiki-hunter-meats-15145743
29131	food.barb_tailed_kebbit	NONE	0	DELAYED	FIXED	7	7	5	NONE	osrs-wiki-hunter-meats-15145743
29134	food.dashing_kebbit	NONE	0	DELAYED	FIXED	13	13	10	NONE	osrs-wiki-hunter-meats-15145743
29137	food.pyre_fox	NONE	0	DELAYED	FIXED	11	11	8	NONE	osrs-wiki-hunter-meats-15145743
29140	food.sunlight_antelope	NONE	0	DELAYED	FIXED	12	12	9	NONE	osrs-wiki-hunter-meats-15145743
29143	food.moonlight_antelope	NONE	0	DELAYED	FIXED	14	14	12	NONE	osrs-wiki-hunter-meats-15145743
29146	food.larupia	NONE	0	DELAYED	FIXED	6	6	5	NONE	osrs-wiki-hunter-meats-15145743
29149	food.graahk	NONE	0	DELAYED	FIXED	8	8	6	NONE	osrs-wiki-hunter-meats-15145743
29152	food.kyatt	NONE	0	DELAYED	FIXED	9	9	8	NONE	osrs-wiki-hunter-meats-15145743
31556	food.swordtip_squid	NONE	0	STANDARD	FIXED	15	15	0	NONE	osrs-wiki-cooking-15254100
31564	food.jumbo_squid	NONE	0	STANDARD	FIXED	17	17	0	NONE	osrs-wiki-cooking-15254100
32312	food.giant_krill	NONE	0	STANDARD	FIXED	17	17	0	NONE	osrs-wiki-cooking-15254100
32320	food.haddock	NONE	0	STANDARD	FIXED	18	18	0	NONE	osrs-wiki-cooking-15254100
32328	food.yellowfin	NONE	0	STANDARD	FIXED	19	19	0	NONE	osrs-wiki-cooking-15254100
32336	food.halibut	NONE	0	COMBO	FIXED	20	20	0	NONE	osrs-wiki-fast-foods-15075008
32344	food.bluefin	NONE	0	STANDARD	FIXED	22	22	0	NONE	osrs-wiki-cooking-15254100
32352	food.marlin	NONE	0	STANDARD	FIXED	24	24	0	NONE	osrs-wiki-cooking-15254100
# Canonical bankable potion families. Variant values are explicit because item IDs are not arithmetic.
2428	potion.attack	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
121	potion.attack	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
123	potion.attack	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
125	potion.attack	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
113	potion.strength	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
115	potion.strength	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
117	potion.strength	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
119	potion.strength	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2432	potion.defence	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
133	potion.defence	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
135	potion.defence	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
137	potion.defence	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
9739	potion.combat	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
9741	potion.combat	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
9743	potion.combat	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
9745	potion.combat	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2436	potion.super_attack	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
145	potion.super_attack	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
147	potion.super_attack	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
149	potion.super_attack	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2440	potion.super_strength	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
157	potion.super_strength	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
159	potion.super_strength	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
161	potion.super_strength	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2442	potion.super_defence	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
163	potion.super_defence	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
165	potion.super_defence	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
167	potion.super_defence	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
