# schema=1
# Original resource rows and raw/processed relationships; order is significant.
METAL_ROWS/metal.ores-base	436,438,440,453
METAL_ROWS/metal.ores-tier	442,444,447,449,451
METAL_ROWS/metal.bars	2349,2351,2353,2355,2357,2359,2361,2363
METAL_FAMILIES/metal.iron	440,2351
METAL_FAMILIES/metal.silver	442,2355
METAL_FAMILIES/metal.gold	444,2357
METAL_FAMILIES/metal.mithril	447,2359
METAL_FAMILIES/metal.adamantite	449,2361
METAL_FAMILIES/metal.runite	451,2363
METAL_SPILLOVER_ORES	436,438,453
METAL_SPILLOVER_BARS	2349,2353
SAILING_ORES	31719
SAILING_PROCESSED_METALS	32892
SUPPLEMENTAL_MINING_MATERIALS	22603,21543,13573,21545,13421,21622
OPAL_FAMILY/gem.opal	1625,1609
GEM_FAMILIES/gem.sapphire	1623,1607
GEM_FAMILIES/gem.emerald	1621,1605
GEM_FAMILIES/gem.ruby	1619,1603
GEM_FAMILIES/gem.diamond	1617,1601
GEM_FAMILIES/gem.dragonstone	1631,1615
WOOD_ROWS/wood.logs.normal	1511,1521,1519,1517,1515,1513,19669
WOOD_ROWS/wood.logs.construction	6333,6332,32904,32907,32910
WOOD_ROWS/wood.special-materials	10810,24691,22935,28134
WOOD_ROWS/wood.planks	960,8778,8780,8782,31432,31435,31438
CRAFTING_ROWS/crafting.jewellery.rings	1635,1637,1639,1641,1643,1645,6575,19538
CRAFTING_ROWS/crafting.jewellery.necklaces	1654,1656,1658,1660,1662,1664,6577,19535
CRAFTING_ROWS/crafting.jewellery.bracelets	11069,11072,11076,11085,11092,11115,11130,19532
CRAFTING_ROWS/crafting.jewellery.amulets-unstrung	1673,1675,1677,1679,1681,1683,6579,19501
CRAFTING_ROWS/crafting.glass-workflow	21504,401,1781,1783,1775,4542,567,229
CRAFTING_ROWS/crafting.textile-inputs	1779,1759,1734,5931
CRAFTING_ROWS/crafting.textile-fabrics	31475,8790,31472,31746,31758,31734
CRAFTING_ROWS/construction.nails	4819,4820,1539,4822,4823,4824
FLETCHING_ROWS/fletching.arrow-production	52,314,53
FLETCHING_ROWS/fletching.arrowtips	39,40,41,42,43,44,21350,11237
FLETCHING_ROWS/fletching.dart-tips	819,820,821,822,823,824,25853
FLETCHING_ROWS/fletching.crossbow-limbs	9420,9422,9423,9425,9427,9429,9431
FLETCHING_ROWS/fletching.unstrung-shortbows	50,54,60,64,68,72
FLETCHING_ROWS/fletching.unstrung-longbows	48,56,58,62,66,70
FLETCHING_STRING_COMPONENTS	1777
FLETCHING_SPECIAL_COMPONENTS	9416,29311
