# schema=1
# Order preserved from Java; priority lists and skill families deliberately overlap. RuneLite ItemID constants resolved from 1.12.38.
RUNECRAFTING_PRIORITY	1438,1444,1442,5529,1456,1462,1458,1448,1440,1446,1454,1452,1450,1460,22118,5527,5531,5533,5535,5537,5539,5541,5543,5545,5547,26801,5509,5510,5511,5512,5513,5514,5515,26784,26786,5521
IRONMAN_CONTAINER_PRIORITY	11941,22586,13226,24478,13639,24482,19634,12019,12020,24481,25582,25584,28140,28142,24882
families/tool.mining	25539,11920,5013,776,12019,24481
families/tool.woodcutting	10491,6739,6313,10132,28136,28142
families/tool.fishing	10129,11323,305,307,309,3159,301,1585,303,25584
families/tool.farming	5340,5325,7409,5341,5343,22997,24482
families/tool.construction	9625,2347,8794,24882
families/tool.crafting	1785,1733,946
families/tool.hunter	10006,10008,10010,10150,10031,10029,29303,29297
families/tool.thieving	29325,1523,24740,4600
families/tool.light-firemaking	9065,590,596,20712
families/tool.cooking	1887,775
families/tool.herblore	233,24478
families/tool.runecrafting	1438,1444,1442,5529,1456,1462,1458,1448,1440,1446,1454,1452,1450,1460,22118,5527,5531,5533,5535,5537,5539,5541,5543,5545,5547,26801,5509,5510,5511,5512,5513,5514,5515,26784,26786,5521
families/tool.utility-containers	11941,22586,13226,13639,12020,25582,28140,19634
families/tool.sailing	31733,31989,31986,31745,31757
outfits/outfit.angler	13258,13259,13260,13261
outfits/outfit.carpenter	24872,24874,24876,24878
outfits/outfit.farmer-male	13646,13642,13640,13644
outfits/outfit.farmer-female	13647,13643,13641,13645
outfits/outfit.graceful	11850,11852,11854,11856,11858,11860
outfits/outfit.lumberjack	10941,10939,10940,10933
outfits/outfit.prospector	12013,12014,12015,12016
outfits/outfit.pyromancer	20708,20704,20706,20710
outfits/outfit.raiments-eye	26850,26852,26854,26856
outfits/outfit.raiments-eye-red	26858,26860,26862
outfits/outfit.raiments-eye-green	26864,26866,26868
outfits/outfit.raiments-eye-blue	26870,26872,26874
outfits/outfit.rogue	5554,5553,5555,5556,5557
outfits/outfit.smiths	27023,27025,27027,27029
outfits/outfit.spirit-angler	25592,25594,25596,25598
outfits/outfit.zealot	25438,25434,25436,25440
