# schema=1
# kind	loadoutKey	style	role	itemIds
# Only relationships not derivable from equipment stats belong here.
required	crystal-ranged	ranged	weapon	4212,4214,4215,4216,4217,4218,4219,4220,4221,4222,4223,23983,24123,25865,25867,25869,25884,25886,25888,25890,25892,25894,25896
required	crystal-ranged	ranged	head	23971,27705,27717,27729,27741,27753,27765,27777
required	crystal-ranged	ranged	body	23975,27697,27709,27721,27733,27745,27757,27769
required	crystal-ranged	ranged	legs	23979,27701,27713,27725,27737,27749,27761,27773
required	blood-moon	melee	weapon	28997
required	blood-moon	melee	head	29028,29047
required	blood-moon	melee	body	29022,29043
required	blood-moon	melee	legs	29025,29045
required	eclipse-moon	ranged	weapon	29000
required	eclipse-moon	ranged	head	29010,29035
required	eclipse-moon	ranged	body	29004,29031
required	eclipse-moon	ranged	legs	29007,29033
required	blue-moon	magic	weapon	28988
required	blue-moon	magic	head	29019,29041
required	blue-moon	magic	body	29013,29037
required	blue-moon	magic	legs	29016,29039
required	ahrim	magic	weapon	4710,4862,4863,4864,4865
required	ahrim	magic	head	4708,4856,4857,4858,4859
required	ahrim	magic	body	4712,4868,4869,4870,4871
required	ahrim	magic	legs	4714,4874,4875,4876,4877
optional	ahrim	magic	amulet	12851,12853
required	dharok	melee	weapon	4718,4886,4887,4888,4889
required	dharok	melee	head	4716,4880,4881,4882,4883
required	dharok	melee	body	4720,4892,4893,4894,4895
required	dharok	melee	legs	4722,4898,4899,4900,4901
optional	dharok	melee	amulet	12851,12853
required	guthan	melee	weapon	4726,4910,4911,4912,4913
required	guthan	melee	head	4724,4904,4905,4906,4907
required	guthan	melee	body	4728,4916,4917,4918,4919
required	guthan	melee	legs	4730,4922,4923,4924,4925
optional	guthan	melee	amulet	12851,12853
required	karil	ranged	weapon	4734,4934,4935,4936,4937
required	karil	ranged	head	4732,4928,4929,4930,4931
required	karil	ranged	body	4736,4940,4941,4942,4943
required	karil	ranged	legs	4738,4946,4947,4948,4949
optional	karil	ranged	amulet	12851,12853
required	torag	melee	weapon	4747,4958,4959,4960,4961
required	torag	melee	head	4745,4952,4953,4954,4955
required	torag	melee	body	4749,4964,4965,4966,4967
required	torag	melee	legs	4751,4970,4971,4972,4973
optional	torag	melee	amulet	12851,12853
required	verac	melee	weapon	4755,4982,4983,4984,4985
required	verac	melee	head	4753,4976,4977,4978,4979
required	verac	melee	body	4757,4988,4989,4990,4991
required	verac	melee	legs	4759,4994,4995,4996,4997
optional	verac	melee	amulet	12851,12853
required	void-melee	melee	head	11665,24185,26477,27007
required	void-melee	melee	body	8839,13072,24177,24178,26463,26469,27000,27003
required	void-melee	melee	legs	8840,13073,24179,24180,26465,26471,27001,27004
required	void-melee	melee	hands	8842,24182,26467,27002
required	void-ranged	ranged	head	11664,24184,26475,27006
required	void-ranged	ranged	body	8839,13072,24177,24178,26463,26469,27000,27003
required	void-ranged	ranged	legs	8840,13073,24179,24180,26465,26471,27001,27004
required	void-ranged	ranged	hands	8842,24182,26467,27002
required	void-magic	magic	head	11663,24183,26473,27005
required	void-magic	magic	body	8839,13072,24177,24178,26463,26469,27000,27003
required	void-magic	magic	legs	8840,13073,24179,24180,26465,26471,27001,27004
required	void-magic	magic	hands	8842,24182,26467,27002
required	justiciar	melee	head	22326
required	justiciar	melee	body	22327
required	justiciar	melee	legs	22328
required	inquisitor	melee	head	24419
required	inquisitor	melee	body	24420
required	inquisitor	melee	legs	24421
optional	inquisitor	melee	weapon	24417
