# schema=1
# Generated from the reviewed workbook plus exact-ID supplements by tools/research/gear-sets/resolve-master-gear-sets.ps1
# domain	setKey	setName	slotRank	itemId
cosmetics	cosmetics.beekeeper-outfit	Beekeeper Outfit	0	25129
cosmetics	cosmetics.beekeeper-outfit	Beekeeper Outfit	5	25131
cosmetics	cosmetics.beekeeper-outfit	Beekeeper Outfit	7	25133
cosmetics	cosmetics.beekeeper-outfit	Beekeeper Outfit	8	25135
cosmetics	cosmetics.beekeeper-outfit	Beekeeper Outfit	9	25137
cosmetics	cosmetics.black-desert	Black Desert Outfit	5	6750
cosmetics	cosmetics.black-desert	Black Desert Outfit	7	6752
cosmetics	cosmetics.black-naval-set	Black Naval Set	0	8963
cosmetics	cosmetics.black-naval-set	Black Naval Set	5	8956
cosmetics	cosmetics.black-naval-set	Black Naval Set	7	8995
cosmetics	cosmetics.blue-naval-set	Blue Naval Set	0	8959
cosmetics	cosmetics.blue-naval-set	Blue Naval Set	5	8952
cosmetics	cosmetics.blue-naval-set	Blue Naval Set	7	8991
cosmetics	cosmetics.bomber-jacket	Bomber Jacket Costume	0	9945
cosmetics	cosmetics.bomber-jacket	Bomber Jacket Costume	0	9946
cosmetics	cosmetics.bomber-jacket	Bomber Jacket Costume	5	9944
cosmetics	cosmetics.brown-naval-set	Brown Naval Set	0	8962
cosmetics	cosmetics.brown-naval-set	Brown Naval Set	5	8955
cosmetics	cosmetics.brown-naval-set	Brown Naval Set	7	8994
cosmetics	cosmetics.chicken-outfit	Chicken Outfit	0	11021
cosmetics	cosmetics.chicken-outfit	Chicken Outfit	5	11020
cosmetics	cosmetics.chicken-outfit	Chicken Outfit	7	11022
cosmetics	cosmetics.chicken-outfit	Chicken Outfit	9	11019
cosmetics	cosmetics.clue-hunter	Clue Hunter Outfit	0	19687
cosmetics	cosmetics.clue-hunter	Clue Hunter Outfit	1	19697
cosmetics	cosmetics.clue-hunter	Clue Hunter Outfit	5	19689
cosmetics	cosmetics.clue-hunter	Clue Hunter Outfit	7	19693
cosmetics	cosmetics.clue-hunter	Clue Hunter Outfit	8	19691
cosmetics	cosmetics.clue-hunter	Clue Hunter Outfit	9	19695
cosmetics	cosmetics.cow-outfit	Cow Outfit	0	11919
cosmetics	cosmetics.cow-outfit	Cow Outfit	5	12956
cosmetics	cosmetics.cow-outfit	Cow Outfit	7	12957
cosmetics	cosmetics.cow-outfit	Cow Outfit	8	12958
cosmetics	cosmetics.cow-outfit	Cow Outfit	9	12959
cosmetics	cosmetics.demonic-pacts-relic-hunter-t1	Demonic Pacts Relic Hunter (T1)	0	33260
cosmetics	cosmetics.demonic-pacts-relic-hunter-t1	Demonic Pacts Relic Hunter (T1)	5	33263
