style	slot	stage	stageLabel	itemId	displayName	variantNote	source	wikiRevision
melee	head	1	Starter	1153	Iron full helm	Defence 1; normal bankable form	gemini-namenlijst	https://oldschool.runescape.wiki/w/Iron_equipment?oldid=15153253
melee	body	1	Starter	1115	Iron platebody	Defence 1; normal bankable form	gemini-namenlijst	https://oldschool.runescape.wiki/w/Iron_equipment?oldid=15153253
melee	legs	1	Starter	1067	Iron platelegs	Defence 1; normal bankable form	gemini-namenlijst	https://oldschool.runescape.wiki/w/Iron_equipment?oldid=15153253
melee	shield	1	Starter	1191	Iron kiteshield	Defence 1; normal bankable form	gemini-namenlijst	https://oldschool.runescape.wiki/w/Iron_equipment?oldid=15153253
melee	weapon	1	Starter	1323	Iron scimitar	Attack 1	gemini-namenlijst	https://oldschool.runescape.wiki/w/Iron_scimitar?oldid=15182553
melee	neck	1	Starter	1725	Amulet of strength	Strength-focused free-to-play neck; no requirements	gemini-namenlijst	https://oldschool.runescape.wiki/w/Amulet_of_strength?oldid=15247704
melee	feet	1	Starter	9006	Fighting boots	Stronghold of Security reward; cosmetic alternative to fancy boots with the same stats	gemini-namenlijst	https://oldschool.runescape.wiki/w/Fighting_boots?oldid=15261969
melee	head	2	Early	1153	Iron full helm	Defence 1; normal bankable form	rapport	https://oldschool.runescape.wiki/w/Iron_equipment?oldid=15153253
melee	body	2	Early	1115	Iron platebody	Defence 1; normal bankable form	rapport	https://oldschool.runescape.wiki/w/Iron_equipment?oldid=15153253
melee	legs	2	Early	1067	Iron platelegs	Defence 1; normal bankable form	rapport	https://oldschool.runescape.wiki/w/Iron_equipment?oldid=15153253
melee	shield	2	Early	1191	Iron kiteshield	Defence 1; normal bankable form	rapport	https://oldschool.runescape.wiki/w/Iron_equipment?oldid=15153253
melee	weapon	2	Early	1323	Iron scimitar	Attack 1	rapport	https://oldschool.runescape.wiki/w/Iron_scimitar?oldid=15182553
melee	head	2	Early	1157	Steel full helm	Defence 5	rapport	https://oldschool.runescape.wiki/w/Steel_equipment?oldid=15247724
melee	body	2	Early	1119	Steel platebody	Defence 5	rapport	https://oldschool.runescape.wiki/w/Steel_equipment?oldid=15247724
melee	legs	2	Early	1069	Steel platelegs	Defence 5	rapport	https://oldschool.runescape.wiki/w/Steel_equipment?oldid=15247724
melee	shield	2	Early	1193	Steel kiteshield	Defence 5	rapport	https://oldschool.runescape.wiki/w/Steel_equipment?oldid=15247724
melee	weapon	2	Early	1325	Steel scimitar	Attack 5	rapport	https://oldschool.runescape.wiki/w/Steel_scimitar?oldid=15182882
melee	head	2	Early	1159	Mithril full helm	Defence 20	rapport	https://oldschool.runescape.wiki/w/Mithril_equipment?oldid=14763072
melee	body	2	Early	1121	Mithril platebody	Defence 20	rapport	https://oldschool.runescape.wiki/w/Mithril_equipment?oldid=14763072
melee	legs	2	Early	1071	Mithril platelegs	Defence 20	rapport	https://oldschool.runescape.wiki/w/Mithril_equipment?oldid=14763072
melee	shield	2	Early	1197	Mithril kiteshield	Defence 20	rapport	https://oldschool.runescape.wiki/w/Mithril_equipment?oldid=14763072
melee	weapon	2	Early	1329	Mithril scimitar	Attack 20	rapport	https://oldschool.runescape.wiki/w/Mithril_scimitar?oldid=15183366
melee	head	2	Early	1161	Adamant full helm	Defence 30	beide	https://oldschool.runescape.wiki/w/Adamant_equipment?oldid=15262017
melee	body	2	Early	1123	Adamant platebody	Defence 30	beide	https://oldschool.runescape.wiki/w/Adamant_equipment?oldid=15262017
melee	legs	2	Early	1073	Adamant platelegs	Defence 30	beide	https://oldschool.runescape.wiki/w/Adamant_equipment?oldid=15262017
melee	shield	2	Early	1199	Adamant kiteshield	Defence 30	rapport	https://oldschool.runescape.wiki/w/Adamant_equipment?oldid=15262017
melee	weapon	2	Early	1331	Adamant scimitar	Attack 30	beide	https://oldschool.runescape.wiki/w/Adamant_scimitar?oldid=15242604
melee	head	2	Early	1163	Rune full helm	Defence 40	rapport	https://oldschool.runescape.wiki/w/Rune_equipment?oldid=15140752
melee	body	2	Early	1127	Rune platebody	Defence 40; Dragon Slayer I required	rapport	https://oldschool.runescape.wiki/w/Rune_equipment?oldid=15140752
melee	legs	2	Early	1079	Rune platelegs	Defence 40	rapport	https://oldschool.runescape.wiki/w/Rune_equipment?oldid=15140752
melee	shield	2	Early	1201	Rune kiteshield	Defence 40	rapport	https://oldschool.runescape.wiki/w/Rune_equipment?oldid=15140752
melee	weapon	2	Early	1333	Rune scimitar	Attack 40	rapport	https://oldschool.runescape.wiki/w/Rune_scimitar?oldid=15183320
melee	neck	2	Early	1704	Amulet of glory	Uncharged form; stage is optimistic for an Ironman because dragonstone and high Crafting are required	rapport	https://oldschool.runescape.wiki/w/Amulet_of_glory?oldid=15234927
melee	cape	2	Early	13121	Ardougne cloak 1	Easy Ardougne Diary reward	beide	https://oldschool.runescape.wiki/w/Ardougne_cloak_1?oldid=15240132
melee	feet	2	Early	3105	Climbing boots	Death Plateau access	beide	https://oldschool.runescape.wiki/w/Climbing_boots?oldid=15183452
melee	hands	2	Early	7460	Rune gloves	Early-slot completion from partial Recipe for Disaster; later than the metal armour ladder	aangevuld	https://oldschool.runescape.wiki/w/Rune_gloves?oldid=15213298
melee	ring	2	Early	2550	Ring of recoil	No strength bonus; practical obtainable early ring rather than inventing a melee-BiS claim	aangevuld	https://oldschool.runescape.wiki/w/Ring_of_recoil?oldid=15237128
melee	cape	2	Early	6568	Obsidian cape	No requirements; Mor Ul Rek purchase makes this later than its equip requirement suggests	gemini-namenlijst	https://oldschool.runescape.wiki/w/Obsidian_cape?oldid=15183434
melee	head	3	Mid	10828	Helm of neitiznot	The Fremennik Isles reward	beide	https://oldschool.runescape.wiki/w/Helm_of_neitiznot?oldid=15182529
melee	body	3	Mid	10551	Fighter torso	Barbarian Assault reward	beide	https://oldschool.runescape.wiki/w/Fighter_torso?oldid=15260485
melee	legs	3	Mid	21304	Obsidian platelegs	Requires Mor Ul Rek access and substantial Tokkul	beide	https://oldschool.runescape.wiki/w/Obsidian_platelegs?oldid=15188347
melee	weapon	3	Mid	4587	Dragon scimitar	Monkey Madness I; Attack 60	beide	https://oldschool.runescape.wiki/w/Dragon_scimitar?oldid=15238190
melee	weapon	3	Mid	28810	Zombie axe	Defender of Varrock; uncommon armoured-zombie drop	beide	https://oldschool.runescape.wiki/w/Zombie_axe?oldid=15249310
melee	weapon	3	Mid	23528	Sarachnis cudgel	Sarachnis unique; Ironman RNG grind	rapport	https://oldschool.runescape.wiki/w/Sarachnis_cudgel?oldid=15197800
melee	shield	3	Mid	12954	Dragon defender	Warriors' Guild progression	beide	https://oldschool.runescape.wiki/w/Dragon_defender?oldid=15260286
melee	cape	3	Mid	6570	Fire cape	Fight Caves completion	beide	https://oldschool.runescape.wiki/w/Fire_cape?oldid=15240496
melee	hands	3	Mid	7462	Barrows gloves	Recipe for Disaster completion	beide	https://oldschool.runescape.wiki/w/Barrows_gloves?oldid=15213300
melee	neck	3	Mid	6585	Amulet of fury	High Crafting plus onyx; substantial Ironman grind	rapport	https://oldschool.runescape.wiki/w/Amulet_of_fury?oldid=15196129
melee	ring	3	Mid	11773	Berserker ring (i)	Nightmare Zone imbue ID; Dagannoth Rex drop first	beide	https://oldschool.runescape.wiki/w/Berserker_ring_(i)?oldid=15184366
melee	ring	3	Mid	25264	Berserker ring (i)	Soul Wars imbue ID; same equipment stats	beide	https://oldschool.runescape.wiki/w/Berserker_ring_(i)?oldid=15184366
melee	ring	3	Mid	26770	Berserker ring (i)	PvP Arena imbue ID; same equipment stats	beide	https://oldschool.runescape.wiki/w/Berserker_ring_(i)?oldid=15184366
melee	feet	3	Mid	11840	Dragon boots	Spiritual mage drop; 83 Slayer	beide	https://oldschool.runescape.wiki/w/Dragon_boots?oldid=15261180
melee	head	4	Late	29028	Blood moon helm	Repairable base form; Perilous Moons	rapport	https://oldschool.runescape.wiki/w/Blood_moon_armour?oldid=15233417
melee	body	4	Late	29022	Blood moon chestplate	Repairable base form; Perilous Moons	beide	https://oldschool.runescape.wiki/w/Blood_moon_armour?oldid=15233417
melee	legs	4	Late	29025	Blood moon tassets	Repairable base form; Perilous Moons	beide	https://oldschool.runescape.wiki/w/Blood_moon_armour?oldid=15233417
melee	head	4	Late	4716	Dharok's helm	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Dharok_the_Wretched%27s_equipment?oldid=15236529
melee	body	4	Late	4720	Dharok's platebody	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Dharok_the_Wretched%27s_equipment?oldid=15236529
melee	legs	4	Late	4722	Dharok's platelegs	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Dharok_the_Wretched%27s_equipment?oldid=15236529
melee	head	4	Late	4724	Guthan's helm	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Guthan_the_Infested%27s_equipment?oldid=15240643
melee	body	4	Late	4728	Guthan's platebody	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Guthan_the_Infested%27s_equipment?oldid=15240643
melee	legs	4	Late	4730	Guthan's chainskirt	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Guthan_the_Infested%27s_equipment?oldid=15240643
melee	head	4	Late	4745	Torag's helm	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Torag_the_Corrupted%27s_equipment?oldid=15316808
melee	body	4	Late	4749	Torag's platebody	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Torag_the_Corrupted%27s_equipment?oldid=15316808
melee	legs	4	Late	4751	Torag's platelegs	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Torag_the_Corrupted%27s_equipment?oldid=15316808
melee	head	4	Late	4753	Verac's helm	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Verac_the_Defiled%27s_equipment?oldid=15279294
melee	body	4	Late	4757	Verac's brassard	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Verac_the_Defiled%27s_equipment?oldid=15279294
melee	legs	4	Late	4759	Verac's plateskirt	Repairable base Barrows form only	aangevuld	https://oldschool.runescape.wiki/w/Verac_the_Defiled%27s_equipment?oldid=15279294
melee	body	4	Late	11832	Bandos chestplate	God Wars Dungeon; late Ironman boss grind	beide	https://oldschool.runescape.wiki/w/Bandos_armour?oldid=15008101
melee	legs	4	Late	11834	Bandos tassets	God Wars Dungeon; late Ironman boss grind	beide	https://oldschool.runescape.wiki/w/Bandos_armour?oldid=15008101
melee	head	4	Late	12929	Serpentine helm (uncharged)	Uncharged/tradeable state; Zulrah unique	beide	https://oldschool.runescape.wiki/w/Serpentine_helm?oldid=15262696
melee	head	4	Late	12931	Serpentine helm	Charged state; consumes Zulrah's scales	beide	https://oldschool.runescape.wiki/w/Serpentine_helm?oldid=15262696
melee	weapon	4	Late	4151	Abyssal whip	85 Slayer; abyssal demon drop	beide	https://oldschool.runescape.wiki/w/Abyssal_whip?oldid=15252654
melee	weapon	4	Late	26219	Osmumten's fang	Tombs of Amascut unique	beide	https://oldschool.runescape.wiki/w/Osmumten%27s_fang?oldid=15236139
melee	neck	4	Late	19553	Amulet of torture	Zenyte jewellery; late Ironman Crafting and demonic gorilla grind	rapport	https://oldschool.runescape.wiki/w/Amulet_of_torture?oldid=15187468
melee	hands	4	Late	22981	Ferocious gloves	Hydra leather; 95 Slayer and Dragon Slayer II	beide	https://oldschool.runescape.wiki/w/Ferocious_gloves?oldid=15239593
melee	feet	4	Late	13239	Primordial boots	Cerberus crystal plus dragon boots; 91 Slayer	rapport	https://oldschool.runescape.wiki/w/Primordial_boots?oldid=15186942
melee	cape	4	Late	6570	Fire cape	Carried forward from stage 2	aangevuld	https://oldschool.runescape.wiki/w/Fire_cape?oldid=15240496
melee	shield	4	Late	12954	Dragon defender	Carried forward until Avernic defender	aangevuld	https://oldschool.runescape.wiki/w/Dragon_defender?oldid=15260286
melee	ring	4	Late	11773	Berserker ring (i)	Nightmare Zone ID; carried forward	aangevuld	https://oldschool.runescape.wiki/w/Berserker_ring_(i)?oldid=15184366
melee	head	5	End	26382	Torva full helm	Nex unique; extremely late Ironman	beide	https://oldschool.runescape.wiki/w/Torva_armour?oldid=15208294
melee	body	5	End	26384	Torva platebody	Nex unique plus Bandos components; extremely late Ironman	beide	https://oldschool.runescape.wiki/w/Torva_armour?oldid=15208294
melee	legs	5	End	26386	Torva platelegs	Nex unique plus Bandos components; extremely late Ironman	beide	https://oldschool.runescape.wiki/w/Torva_armour?oldid=15208294
melee	head	5	End	24419	Inquisitor's great helm	Nightmare unique; exceptionally rare for an Ironman	rapport	https://oldschool.runescape.wiki/w/Inquisitor%27s_armour?oldid=15213319
melee	body	5	End	24420	Inquisitor's hauberk	Nightmare unique; exceptionally rare for an Ironman	rapport	https://oldschool.runescape.wiki/w/Inquisitor%27s_armour?oldid=15213319
melee	legs	5	End	24421	Inquisitor's plateskirt	Nightmare unique; exceptionally rare for an Ironman	rapport	https://oldschool.runescape.wiki/w/Inquisitor%27s_armour?oldid=15213319
melee	weapon	5	End	22325	Scythe of vitur	Charged state; Theatre of Blood mega-rare; extremely late Ironman	beide	https://oldschool.runescape.wiki/w/Scythe_of_vitur?oldid=15252908
melee	weapon	5	End	22486	Scythe of vitur (uncharged)	Uncharged state; Theatre of Blood mega-rare	beide	https://oldschool.runescape.wiki/w/Scythe_of_vitur?oldid=15252908
melee	shield	5	End	22322	Avernic defender	Avernic defender hilt from Theatre of Blood	beide	https://oldschool.runescape.wiki/w/Avernic_defender?oldid=15260287
melee	cape	5	End	21295	Infernal cape	Inferno completion; extreme mechanical requirement	beide	https://oldschool.runescape.wiki/w/Infernal_cape?oldid=15260495
melee	ring	5	End	28307	Ultor ring	Canonical live-game ID; DT2/Vardorvis vestige grind	beide	https://oldschool.runescape.wiki/w/Ultor_ring?oldid=15191287
melee	neck	5	End	19553	Amulet of torture	Best listed melee neck carried forward	aangevuld	https://oldschool.runescape.wiki/w/Amulet_of_torture?oldid=15187468
melee	hands	5	End	22981	Ferocious gloves	Best listed melee gloves carried forward	aangevuld	https://oldschool.runescape.wiki/w/Ferocious_gloves?oldid=15239593
melee	feet	5	End	13239	Primordial boots	Best listed melee boots carried forward	aangevuld	https://oldschool.runescape.wiki/w/Primordial_boots?oldid=15186942
ranged	head	1	Starter	1167	Leather cowl	Ranged/Defence 1	gemini-namenlijst	https://oldschool.runescape.wiki/w/Leather_armour?oldid=14763066
ranged	body	1	Starter	1129	Leather body	Ranged/Defence 1	gemini-namenlijst	https://oldschool.runescape.wiki/w/Leather_armour?oldid=14763066
ranged	legs	1	Starter	1095	Leather chaps	Ranged/Defence 1	gemini-namenlijst	https://oldschool.runescape.wiki/w/Leather_armour?oldid=14763066
ranged	weapon	1	Starter	841	Shortbow	Ranged 1; ordinary strung shortbow	gemini-namenlijst	https://oldschool.runescape.wiki/w/Shortbow?oldid=15183214
ranged	ammo	1	Starter	884	Iron arrow	Ranged ammunition; canonical singular in-game display name	gemini-namenlijst	https://oldschool.runescape.wiki/w/Iron_arrow?oldid=15182793
ranged	neck	1	Starter	1731	Amulet of power	Multi-style starter amulet; no requirements	gemini-namenlijst	https://oldschool.runescape.wiki/w/Amulet_of_power?oldid=15182767
ranged	head	2	Early	1167	Leather cowl	Ranged/Defence 1	rapport	https://oldschool.runescape.wiki/w/Leather_armour?oldid=14763066
ranged	body	2	Early	1129	Leather body	Ranged/Defence 1	rapport	https://oldschool.runescape.wiki/w/Leather_armour?oldid=14763066
ranged	legs	2	Early	1095	Leather chaps	Ranged/Defence 1	rapport	https://oldschool.runescape.wiki/w/Leather_armour?oldid=14763066
ranged	hands	2	Early	1063	Leather vambraces	Ranged/Defence 1	rapport	https://oldschool.runescape.wiki/w/Leather_armour?oldid=14763066
ranged	feet	2	Early	1061	Leather boots	Ranged/Defence 1	rapport	https://oldschool.runescape.wiki/w/Leather_armour?oldid=14763066
ranged	body	2	Early	1135	Green d'hide body	Ranged/Defence 40 and Dragon Slayer I	rapport	https://oldschool.runescape.wiki/w/Green_dragonhide_armour?oldid=15029150
ranged	legs	2	Early	1099	Green d'hide chaps	Ranged 40	rapport	https://oldschool.runescape.wiki/w/Green_dragonhide_armour?oldid=15029150
ranged	hands	2	Early	1065	Green d'hide vambraces	Ranged 40	rapport	https://oldschool.runescape.wiki/w/Green_dragonhide_armour?oldid=15029150
ranged	body	2	Early	2499	Blue d'hide body	Ranged 50/Defence 40; stage 1 is optimistic for an Ironman	rapport	https://oldschool.runescape.wiki/w/Blue_dragonhide_armour?oldid=15237891
ranged	legs	2	Early	2493	Blue d'hide chaps	Ranged 50; stage 1 is optimistic for an Ironman	rapport	https://oldschool.runescape.wiki/w/Blue_dragonhide_armour?oldid=15237891
ranged	hands	2	Early	2487	Blue d'hide vambraces	Ranged 50; stage 1 is optimistic for an Ironman	rapport	https://oldschool.runescape.wiki/w/Blue_dragonhide_armour?oldid=15237891
ranged	weapon	2	Early	843	Oak shortbow	Ranged 5	rapport	https://oldschool.runescape.wiki/w/Oak_shortbow?oldid=15183553
ranged	weapon	2	Early	849	Willow shortbow	Ranged 20	rapport	https://oldschool.runescape.wiki/w/Willow_shortbow?oldid=15183273
ranged	weapon	2	Early	853	Maple shortbow	Ranged 30	beide	https://oldschool.runescape.wiki/w/Maple_shortbow?oldid=15183122
ranged	weapon	2	Early	8880	Dorgeshuun crossbow	Ranged 28; Lost Tribe access	rapport	https://oldschool.runescape.wiki/w/Dorgeshuun_crossbow?oldid=15210109
ranged	cape	2	Early	10498	Ava's attractor	Animal Magnetism; Ranged below 50	beide	https://oldschool.runescape.wiki/w/Ava%27s_attractor?oldid=15182780
ranged	neck	2	Early	1704	Amulet of glory	Generic early ranged neck; optimistic Ironman Crafting requirement	aangevuld	https://oldschool.runescape.wiki/w/Amulet_of_glory?oldid=15234927
ranged	ring	2	Early	6733	Archers ring	No level requirement but Dagannoth Supreme makes this a mid-game Ironman item; included only to fill the slot	aangevuld	https://oldschool.runescape.wiki/w/Archers_ring?oldid=15182777
ranged	shield	2	Early	22275	Green d'hide shield	Ranged/Defence 40; early one-handed ranged shield option	aangevuld	https://oldschool.runescape.wiki/w/Green_d%27hide_shield?oldid=15188743
ranged	body	2	Early	1131	Hardleather body	Ranged 1 and Defence 10	gemini-namenlijst	https://oldschool.runescape.wiki/w/Hardleather_body?oldid=15241548
ranged	head	2	Early	1169	Coif	Ranged 20	gemini-namenlijst	https://oldschool.runescape.wiki/w/Coif?oldid=15259674
ranged	body	2	Early	1133	Studded body	Ranged 20 and Defence 20	gemini-namenlijst	https://oldschool.runescape.wiki/w/Studded_body?oldid=15183620
ranged	legs	2	Early	1097	Studded chaps	Ranged 20	gemini-namenlijst	https://oldschool.runescape.wiki/w/Studded_chaps?oldid=15183327
ranged	body	3	Mid	29280	Mixed hide top	Ranged 60/Defence 50; Hunter Guild and high Crafting	rapport	https://oldschool.runescape.wiki/w/Mixed_hide_armour?oldid=15215736
ranged	legs	3	Mid	29283	Mixed hide legs	Ranged 60	rapport	https://oldschool.runescape.wiki/w/Mixed_hide_armour?oldid=15215736
ranged	feet	3	Mid	29286	Mixed hide boots	Ranged 60/Defence 50	rapport	https://oldschool.runescape.wiki/w/Mixed_hide_armour?oldid=15215736
ranged	cape	3	Mid	29289	Mixed hide cape	Ranged 60/Defence 50	rapport	https://oldschool.runescape.wiki/w/Mixed_hide_armour?oldid=15215736
ranged	body	3	Mid	2501	Red d'hide body	Ranged 60/Defence 40	rapport	https://oldschool.runescape.wiki/w/Red_dragonhide_armour?oldid=15237883
ranged	legs	3	Mid	2495	Red d'hide chaps	Ranged 60	rapport	https://oldschool.runescape.wiki/w/Red_dragonhide_armour?oldid=15237883
ranged	hands	3	Mid	2489	Red d'hide vambraces	Ranged 60	rapport	https://oldschool.runescape.wiki/w/Red_dragonhide_armour?oldid=15237883
ranged	body	3	Mid	2503	Black d'hide body	Ranged 70/Defence 40; later than typical mid-game	beide	https://oldschool.runescape.wiki/w/Black_dragonhide_armour?oldid=15257993
ranged	legs	3	Mid	2497	Black d'hide chaps	Ranged 70	beide	https://oldschool.runescape.wiki/w/Black_dragonhide_armour?oldid=15257993
ranged	hands	3	Mid	2491	Black d'hide vambraces	Ranged 70	rapport	https://oldschool.runescape.wiki/w/Black_dragonhide_armour?oldid=15257993
ranged	weapon	3	Mid	12788	Magic shortbow (i)	Imbued weapon ID; Wilderness Slayer/LMS scroll route	beide	https://oldschool.runescape.wiki/w/Magic_shortbow_(i)?oldid=15200994
ranged	weapon	3	Mid	9185	Rune crossbow	Ranged 61; Ironman-accessible through Crazy archaeologist or Fletching	beide	https://oldschool.runescape.wiki/w/Rune_crossbow?oldid=15182850
ranged	weapon	3	Mid	28869	Hunters' sunlight crossbow	Ranged 74; Hunter Guild production chain	beide	https://oldschool.runescape.wiki/w/Hunters%27_sunlight_crossbow?oldid=15212660
ranged	cape	3	Mid	10499	Ava's accumulator	Animal Magnetism; Ranged 50	beide	https://oldschool.runescape.wiki/w/Ava%27s_accumulator?oldid=15186234
ranged	feet	3	Mid	6328	Snakeskin boots	Ranged/Defence 30	rapport	https://oldschool.runescape.wiki/w/Snakeskin_boots?oldid=15241565
ranged	neck	3	Mid	6585	Amulet of fury	Generic multi-style upgrade; high Ironman Crafting	aangevuld	https://oldschool.runescape.wiki/w/Amulet_of_fury?oldid=15196129
ranged	ring	3	Mid	11771	Archers ring (i)	Nightmare Zone imbue ID; Dagannoth Supreme drop first	aangevuld	https://oldschool.runescape.wiki/w/Archers_ring_(i)?oldid=15184565
ranged	ring	3	Mid	25260	Archers ring (i)	Soul Wars imbue ID	aangevuld	https://oldschool.runescape.wiki/w/Archers_ring_(i)?oldid=15184565
ranged	ring	3	Mid	26768	Archers ring (i)	PvP Arena imbue ID	aangevuld	https://oldschool.runescape.wiki/w/Archers_ring_(i)?oldid=15184565
ranged	head	3	Mid	3749	Archer helm	Fremennik Trials; practical mid-game ranged head	aangevuld	https://oldschool.runescape.wiki/w/Archer_helm?oldid=15182776
ranged	shield	3	Mid	22284	Black d'hide shield	Ranged 70/Defence 40; one-handed crossbow option	aangevuld	https://oldschool.runescape.wiki/w/Black_d%27hide_shield?oldid=15188746
ranged	shield	3	Mid	3842	Unholy book	Completed Zamorak god book; reusable off-hand with offensive bonuses	gemini-namenlijst	https://oldschool.runescape.wiki/w/Unholy_book?oldid=15225455
ranged	head	4	Late	10374	Zamorak coif	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	body	4	Late	10370	Zamorak d'hide body	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	legs	4	Late	10372	Zamorak chaps	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	hands	4	Late	10368	Zamorak bracers	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	feet	4	Late	19936	Zamorak d'hide boots	Blessed dragonhide; medium-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	head	4	Late	10382	Guthix coif	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	body	4	Late	10378	Guthix d'hide body	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	legs	4	Late	10380	Guthix chaps	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	hands	4	Late	10376	Guthix bracers	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	feet	4	Late	19927	Guthix d'hide boots	Blessed dragonhide; medium-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
